Table 1: Contract Year (CY) 2027 Chiropractic Care Medicare FFS Data Projections,,,,
Provider Specialties,Office Allowed Professional Costs (excluding drugs),Number of Visits,Percent of Total,Weighted Average (Column B x D)
Chiropractor,42.00,"7,155,808",100.00%,$42.00
Chiropractic Care (Total),,"7,155,808",100.00%,$42.00
,,,,
,,,,
Table 2: Contract Year (CY) 2027 Chiropractic Care Copayment Limits by Maximum Out-of-Pocket (MOOP) Type,,,,
Row Reference,Description,Lower MOOP,Intermediate MOOP,Mandatory MOOP
A,CY 2027 projected total average Medicare FFS allowed amount*,$42.00 ,,
B,CY 2027 coinsurance limit per § 422.100(f)(6)(iii)(F),50%,40%,30%
C,Unrounded actuarially equivalent copayment value to CY 2027 coinsurance limit per § 422.100(f)(6)(iii)(F) (row A multiplied by row B)  ,$21.00 ,$16.80 ,$12.60 
D,Final CY 2027 copayment limit per § 422.100(f)(6)(iii) and (f)(8)(ii)(D) (row C rounded per § 422.100(f)(6)(ii))  ,$20.00 ,$15.00 ,$15.00 
*This amount is based on 2025 Medicare FFS cost and utilization data of provider specialties in an office setting and the Office of the Actuary's (OACT's) projections of cost changes between 2025 to 2027. This amount represents the CY 2027 projected total average Medicare FFS allowed amount per visit (excluding drug costs) for the provider specialty type: chiropractor. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)). ,,,,
